n,runtime
200,0.173374
400,0.0987849
600,0.184262
800,0.254016
1000,0.422015
1200,0.773659
1400,1.00441
1600,2.60601
1800,2.15491
2000,2.59656
2200,3.6934
2400,8.85117
2600,7.77634
