configs	size	Basic MPI		MPI w/ vectorization
1				2000		5.75511			3.47515
2				2000		2.04199			1.31169
4				2000		1.0606			0.621618
6				2000		0.711086		0.427154
8				2000		0.579885		0.546128
12			2000		0.390546		0.252095
16			2000		0.50987			0.285199
20			2000		0.413098		0.235851
24			2000		0.375288		0.218027
