n,p,time
480,-1,0.38348
960,-1,1.74385
1440,-1,2.73758
1920,-1,5.02707
2400,-1,12.1539
2880,-1,23.8994
3360,-1,39.005
3840,-1,73.4655
4320,-1,96.3625
4800,-1,117.919
