n,p,time
500,1,0.690715
622,2,0.655045
708,3,1.40464
776,4,1.25974
835,5,1.38925
882,6,2.03672
924,7,2.58261
968,8,4.07886
1008,9,4.72989
1040,10,6.45981
1067,11,5.03108
1104,12,4.88142
