n,p,time
480,-1,0.076386
960,-1,0.204433
1440,-1,0.345647
1920,-1,0.661917
2400,-1,1.07295
2880,-1,1.86348
3360,-1,2.68979
3840,-1,3.54828
4320,-1,4.95871
4800,-1,6.23142
