Function,Module,CPU Time,CPU Time:Idle,CPU Time:Poor,CPU Time:Ok,CPU Time:Ideal,CPU Time:Over,Wait Time,Spin Time,Spin Time:Imbalance or Serial Spinning (OpenMP),Spin Time:Lock Contention (OpenMP),Spin Time:Communication (MPI),Spin Time:Other,Overhead Time,Overhead Time:Creation (OpenMP),Overhead Time:Scheduling (OpenMP),Overhead Time:Reduction (OpenMP),Overhead Time:Other,Thread Oversubscription
square,path.x,12.420000,0.020000,11.780000,0.0,0.620000,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.370000
genrand,path.x,0.040000,0.030000,0.010000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__intel_ssse3_memcpy,path.x,0.030000,0.0,0.030000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fletcher16,path.x,0.030000,0.010000,0.020000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__svml_irem4_y8,path.x,0.020000,0.0,0.020000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_fork_barrier,libiomp5.so,,,,,,,0.407884,,,,,,,,,,,
__kmp_get_global_thread_id_reg,libiomp5.so,,,,,,,0.000091,,,,,,,,,,,
__kmp_join_call,libiomp5.so,,,,,,,0.057319,,,,,,,,,,,
printf,libc-2.12.so,,,,,,,0.000032,,,,,,,,,,,
