Function,Module,CPU Time,CPU Time:Idle,CPU Time:Poor,CPU Time:Ok,CPU Time:Ideal,CPU Time:Over,Wait Time,Spin Time,Spin Time:Imbalance or Serial Spinning (OpenMP),Spin Time:Lock Contention (OpenMP),Spin Time:Communication (MPI),Spin Time:Other,Overhead Time,Overhead Time:Creation (OpenMP),Overhead Time:Scheduling (OpenMP),Overhead Time:Reduction (OpenMP),Overhead Time:Other,Thread Oversubscription
square,path.x,11.820000,0.0,1.932996,0.0,9.887004,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.790000
gen_graph,path.x,0.040000,0.040000,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__intel_ssse3_memcpy,path.x,0.030000,0.010000,0.020000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fletcher16,path.x,0.030000,0.010000,0.020000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__svml_irem4_y8,path.x,0.020000,0.010000,0.010000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_barrier,libiomp5.so,,,,,,,0.343386,,,,,,,,,,,
__kmp_fork_barrier,libiomp5.so,,,,,,,0.816517,,,,,,,,,,,
__kmp_get_global_thread_id_reg,libiomp5.so,,,,,,,0.000088,,,,,,,,,,,
__kmp_join_call,libiomp5.so,,,,,,,0.005893,,,,,,,,,,,
__kmp_launch_thread,libiomp5.so,,,,,,,0.000268,,,,,,,,,,,
__kmpc_reduce_nowait,libiomp5.so,,,,,,,0.455382,,,,,,,,,,,
printf,libc-2.12.so,,,,,,,0.000032,,,,,,,,,,,
