Function,Module,CPU Time,CPU Time:Idle,CPU Time:Poor,CPU Time:Ok,CPU Time:Ideal,CPU Time:Over,Wait Time,Spin Time,Spin Time:Imbalance or Serial Spinning (OpenMP),Spin Time:Lock Contention (OpenMP),Spin Time:Communication (MPI),Spin Time:Other,Overhead Time,Overhead Time:Creation (OpenMP),Overhead Time:Scheduling (OpenMP),Overhead Time:Reduction (OpenMP),Overhead Time:Other,Thread Oversubscription
square,path.x,11.420000,0.020000,0.180000,0.0,11.220000,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.420000
gen_graph,path.x,0.040000,0.030000,0.010000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fletcher16,path.x,0.030000,0.020000,0.010000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_paths,path.x,0.020000,0.0,0.020000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__intel_ssse3_memcpy,path.x,0.010000,0.0,0.0,0.0,0.010000,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.010000
__kmp_barrier,libiomp5.so,0.010000,0.0,0.010000,0.0,0.0,0.0,0.990174,0.010000,0.0,0.0,,0.010000,0.0,0.0,0.0,0.0,0.0,0.010000
pthread_create,libpthread-2.12.so,0.010000,0.010000,0.0,0.0,0.0,0.0,,0.010000,0.0,0.0,,0.010000,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_fork_barrier,libiomp5.so,,,,,,,2.414969,,,,,,,,,,,
__kmp_get_global_thread_id_reg,libiomp5.so,,,,,,,0.000086,,,,,,,,,,,
__kmp_join_call,libiomp5.so,,,,,,,0.001019,,,,,,,,,,,
__kmp_launch_thread,libiomp5.so,,,,,,,0.002530,,,,,,,,,,,
__kmpc_reduce_nowait,libiomp5.so,,,,,,,0.386465,,,,,,,,,,,
printf,libc-2.12.so,,,,,,,0.000032,,,,,,,,,,,
