1, 179.635030
2, 26.846548
3, 7.915277
4, 2.713454
5, 1.246045
6, 0.909658
7, 0.500777
8, 0.465340
9, 0.265520
10, 0.204254
11, 0.204425
12, 0.167150
13, 0.188289
14, 0.138112
15, 0.103632
16, 0.085895
17, 0.076090
18, 0.066476
19, 0.057155
20, 0.051481
21, 0.046409
22, 0.090995
23, 0.077341
24, 0.073375
25, 0.042141
26, 0.051261
27, 0.039833
28, 0.034986
29, 0.034086
30, 0.037587
31, 0.036292
32, 0.035452
33, 0.031615
34, 0.033032
35, 0.030232
36, 0.028359
37, 0.025970
38, 0.026539
39, 0.025320
40, 0.023756
41, 0.021327
42, 0.020487
43, 0.019878
44, 0.018035
45, 0.019429
46, 0.019605
47, 0.016714
48, 0.018391
49, 0.016982
50, 0.015955
