1, 9.377107
2, 4.721420
3, 3.424350
4, 2.451859
5, 1.942689
6, 1.601516
7, 1.380615
8, 1.223970
9, 1.074831
10, 1.003908
11, 0.931173
12, 0.820994
13, 1.214976
14, 1.137499
15, 0.972485
16, 0.702705
17, 0.653523
18, 0.618892
19, 0.593852
20, 0.554190
21, 0.535105
22, 0.870272
23, 0.522137
24, 0.990900
25, 0.957261
26, 0.864839
27, 0.770028
28, 0.974180
29, 0.863335
30, 0.971137
31, 1.009882
32, 1.015939
33, 0.922305
34, 0.914486
35, 0.991380
36, 0.877075
37, 0.992800
38, 1.073454
39, 1.035514
40, 0.992614
41, 0.926414
42, 0.997208
43, 0.920453
44, 0.970452
45, 0.950103
46, 0.969736
47, 0.954593
48, 0.965932
49, 1.007126
50, 1.067722
