Function,Module,CPU Time,CPU Time:Idle,CPU Time:Poor,CPU Time:Ok,CPU Time:Ideal,CPU Time:Over,Wait Time,Spin Time,Spin Time:Imbalance or Serial Spinning (OpenMP),Spin Time:Lock Contention (OpenMP),Spin Time:Communication (MPI),Spin Time:Other,Overhead Time,Overhead Time:Creation (OpenMP),Overhead Time:Scheduling (OpenMP),Overhead Time:Reduction (OpenMP),Overhead Time:Other,Thread Oversubscription
square,path.x,595.622818,0.0,19.824467,0.0,575.798351,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen_graph,path.x,0.619988,0.0,0.619988,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fletcher16,path.x,0.389967,0.0,0.389967,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_fork_barrier,libiomp5.so,0.369996,0.0,0.369996,0.0,0.0,0.0,0.598748,0.369996,0.359995,0.0,,0.010000,0.0,0.0,0.0,0.0,0.0,0.0
__intel_ssse3_memcpy,path.x,0.230013,0.010018,0.219995,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_join_call,libiomp5.so,0.219995,0.0,0.219995,0.0,0.0,0.0,2.380833,0.219995,0.209995,0.0,,0.010000,0.0,0.0,0.0,0.0,0.0,0.0
genrand,path.x,0.200004,0.0,0.200004,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__svml_irem4_y8,path.x,0.129991,0.0,0.129991,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_paths,path.x,0.059995,0.0,0.059995,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__kmp_get_global_thread_id_reg,libiomp5.so,0.030000,0.0,0.030000,0.0,0.0,0.0,0.000133,0.0,0.0,0.0,,0.0,0.030000,0.0,0.0,0.0,0.030000,0.0
deinfinitize,path.x,0.029996,0.0,0.029996,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infinitize,path.x,0.010005,0.0,0.010005,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
printf,libc-2.12.so,,,,,,,0.000032,,,,,,,,,,,
