n,runtime
200,0.013052
400,0.024843
600,0.0711091
800,0.150709
1000,0.316912
1200,0.547617
1400,0.740425
1600,2.73646
1800,1.78073
2000,2.24334
2200,3.46158
2400,9.0075
2600,7.64439
