n,runtime
200,0.00367308
400,0.0232229
600,0.098259
800,0.230659
1000,0.533242
1200,1.28013
1400,2.12523
1600,3.38343
1800,4.4864
2000,6.15343
2200,8.14681
2400,10.6505
2600,14.2731
